Taxon,Species,Trait,Value,Source
Birds,Acanthis flammea,Beak.Length_Culmen,11.4,AVONET
Birds,Acanthis flammea,Beak.Length_Nares,7.8,AVONET
Birds,Acanthis flammea,Beak.Width,4.5,AVONET
Birds,Acanthis flammea,Beak.Depth,6.5,AVONET
Birds,Acanthis flammea,Tarsus.Length,15.6,AVONET
Birds,Acanthis flammea,Wing.Length,75.8,AVONET
Birds,Acanthis flammea,Kipps.Distance,25.0,AVONET
Birds,Acanthis flammea,Secondary1,50.7,AVONET
Birds,Acanthis flammea,Hand-Wing.Index,33.1,AVONET
Birds,Acanthis flammea,Tail.Length,58.7,AVONET
Birds,Acanthis flammea,Mass,13.0,AVONET
Birds,Acanthis flammea,Migration,2,AVONET
Birds,Acanthis flammea,Trophic.Level,Herbivore,AVONET
Birds,Acanthis flammea,Trophic.Niche,Granivore,AVONET
Birds,Acanthis flammea,Primary.Lifestyle,Generalist,AVONET
Birds,Accipiter brevipes,Beak.Length_Culmen,21.1,AVONET
Birds,Accipiter brevipes,Beak.Length_Nares,12.1,AVONET
Birds,Accipiter brevipes,Beak.Width,8.7,AVONET
Birds,Accipiter brevipes,Beak.Depth,11.1,AVONET
Birds,Accipiter brevipes,Tarsus.Length,46.4,AVONET
Birds,Accipiter brevipes,Wing.Length,217.6,AVONET
Birds,Accipiter brevipes,Kipps.Distance,87.8,AVONET
Birds,Accipiter brevipes,Secondary1,129.9,AVONET
Birds,Accipiter brevipes,Hand-Wing.Index,40.2,AVONET
Birds,Accipiter brevipes,Tail.Length,153.5,AVONET
Birds,Accipiter brevipes,Mass,186.5,AVONET
Birds,Accipiter brevipes,Migration,3,AVONET
Birds,Accipiter brevipes,Trophic.Level,Carnivore,AVONET
Birds,Accipiter brevipes,Trophic.Niche,Vertivore,AVONET
Birds,Accipiter brevipes,Primary.Lifestyle,Generalist,AVONET
Birds,Accipiter gentilis,Beak.Length_Culmen,33.7,AVONET
Birds,Accipiter gentilis,Beak.Length_Nares,19.6,AVONET
Birds,Accipiter gentilis,Beak.Width,11.6,AVONET
Birds,Accipiter gentilis,Beak.Depth,18.0,AVONET
