"","Idgrid","Variable","Value","Dimension","Facet","Taxon"
"1","CRS3035RES50000mN1400000E4700000","afuncBirds",0.0282465498083826,"Alpha","Functional","Birds"
"2","CRS3035RES50000mN1400000E4700000","afuncTrees",0.0582238905565711,"Alpha","Functional","Trees"
"3","CRS3035RES50000mN1400000E4700000","aphyloBirds",0.129337071947067,"Alpha","Phylogenetic","Birds"
"4","CRS3035RES50000mN1400000E4700000","aphyloTrees",0.484389235573357,"Alpha","Phylogenetic","Trees"
"5","CRS3035RES50000mN1400000E4700000","ataxobird",0.0454545454545455,"Alpha","Taxonomic","Birds"
"6","CRS3035RES50000mN1400000E4700000","ataxotree",0.274725274725275,"Alpha","Taxonomic","Trees"
"7","CRS3035RES50000mN1400000E5600000","afuncBirds",0.000749930629116663,"Alpha","Functional","Birds"
"8","CRS3035RES50000mN1400000E5600000","afuncTrees",0.0728352390854452,"Alpha","Functional","Trees"
"9","CRS3035RES50000mN1400000E5600000","aphyloBirds",0.0590087668953487,"Alpha","Phylogenetic","Birds"
"10","CRS3035RES50000mN1400000E5600000","aphyloTrees",0.372209175466604,"Alpha","Phylogenetic","Trees"
"11","CRS3035RES50000mN1400000E5600000","ataxobird",0.0363636363636364,"Alpha","Taxonomic","Birds"
"12","CRS3035RES50000mN1400000E5600000","ataxotree",0.208791208791209,"Alpha","Taxonomic","Trees"
"13","CRS3035RES50000mN1400000E5650000","afuncBirds",0.104249163630411,"Alpha","Functional","Birds"
"14","CRS3035RES50000mN1400000E5650000","afuncTrees",0.0496358011546353,"Alpha","Functional","Trees"
"15","CRS3035RES50000mN1400000E5650000","aphyloBirds",0.327512659129066,"Alpha","Phylogenetic","Birds"
"16","CRS3035RES50000mN1400000E5650000","aphyloTrees",0.312441426889905,"Alpha","Phylogenetic","Trees"
"17","CRS3035RES50000mN1400000E5650000","ataxobird",0.309090909090909,"Alpha","Taxonomic","Birds"
"18","CRS3035RES50000mN1400000E5650000","ataxotree",0.164835164835165,"Alpha","Taxonomic","Trees"
"19","CRS3035RES50000mN1450000E4700000","afuncBirds",0.0282465498083826,"Alpha","Functional","Birds"
"20","CRS3035RES50000mN1450000E4700000","afuncTrees",0.0366417134205798,"Alpha","Functional","Trees"
"21","CRS3035RES50000mN1450000E4700000","aphyloBirds",0.129337071947067,"Alpha","Phylogenetic","Birds"
"22","CRS3035RES50000mN1450000E4700000","aphyloTrees",0.449795704504936,"Alpha","Phylogenetic","Trees"
"23","CRS3035RES50000mN1450000E4700000","ataxobird",0.0454545454545455,"Alpha","Taxonomic","Birds"
"24","CRS3035RES50000mN1450000E4700000","ataxotree",0.197802197802198,"Alpha","Taxonomic","Trees"
"25","CRS3035RES50000mN1450000E5550000","afuncBirds",0.161370959195088,"Alpha","Functional","Birds"
"26","CRS3035RES50000mN1450000E5550000","afuncTrees",0.16026177212877,"Alpha","Functional","Trees"
"27","CRS3035RES50000mN1450000E5550000","aphyloBirds",0.375717838859063,"Alpha","Phylogenetic","Birds"
"28","CRS3035RES50000mN1450000E5550000","aphyloTrees",0.628338809869199,"Alpha","Phylogenetic","Trees"
"29","CRS3035RES50000mN1450000E5550000","ataxobird",0.309090909090909,"Alpha","Taxonomic","Birds"
"30","CRS3035RES50000mN1450000E5550000","ataxotree",0.406593406593407,"Alpha","Taxonomic","Trees"
"31","CRS3035RES50000mN1450000E5600000","afuncBirds",0.141338955701136,"Alpha","Functional","Birds"
"32","CRS3035RES50000mN1450000E5600000","afuncTrees",0.158969237861758,"Alpha","Functional","Trees"
"33","CRS3035RES50000mN1450000E5600000","aphyloBirds",0.383115656243042,"Alpha","Phylogenetic","Birds"
"34","CRS3035RES50000mN1450000E5600000","aphyloTrees",0.678883375419059,"Alpha","Phylogenetic","Trees"
"35","CRS3035RES50000mN1450000E5600000","ataxobird",0.318181818181818,"Alpha","Taxonomic","Birds"
"36","CRS3035RES50000mN1450000E5600000","ataxotree",0.472527472527473,"Alpha","Taxonomic","Trees"
"37","CRS3035RES50000mN1450000E5650000","afuncBirds",0.191618741699968,"Alpha","Functional","Birds"
"38","CRS3035RES50000mN1450000E5650000","afuncTrees",0.13610568067715,"Alpha","Functional","Trees"
